PN接面	PN結
觸控式螢幕	觸摸屏
計程車	出租车
訊息	消息
訊號	信號
訊雜比	信噪比
訪問	訪問
設定	設置
許可權	權限
調色盤	調色板
調變	調制
諾魯	瑙魯
變數	變量
象牙海岸	科特迪瓦
貝南	貝寧
貝里斯	伯利茲
貼上	粘貼
資料	數據
資料來源	數據源
資料倉儲	數據倉庫
資料包	數據報
資料夾	文件夾
資料庫	數據庫
資料探勘	數據挖掘
資訊	信息
資訊保安	信息安全
資訊理論	信息論
資訊科技	信息技術
資訊長	首席信息官
賓士	奔馳
賴比瑞亞	利比里亞
賴索托	萊索托
超程式設計	元編程
軟碟機	軟驅
軟體	軟件
載入	加載
載入程式	引導程序
辛巴威	津巴布韋
迦納	加納
迴圈	循環
通訊	通信
通道	信道
速食麵	方便麵
連結	鏈接
連結串列	鏈表
連線	連接
進位制	進制
進程	進程
進階	高端 高級
運算元	算子
運算子	運算符
過載	重載
遞迴	遞歸
遠端	遠程
遮蔽	屏蔽
選單	菜單
邏輯閘	邏輯門
那杜	溫納圖萬
部落格	博客
都會網路	城域王
釋出	發佈
重新命名	重命名
重新整理	刷新
重灌	重裝
金氧半導體	金屬氧化物半導體
金鑰	密鑰
錄影	錄像
鐳射	激光
開啟	打開
閘流體	晶閘管
閘道器	網關
閘電路	門電路
關聯式資料庫	關係數據庫
防寫	寫保護
防毒	殺毒
阿拉伯聯合大公國	阿拉伯聯合酋長國
陣列	數組
隨機亂數	随机数
雜湊	哈希 散列
離線	脫機
雲端儲存	雲存儲
雲端計算	雲計算
電腦保安	計算機安全
電腦科學	計算機科學
非同步	異步
面板	皮膚
音效卡	聲卡
音訊	音頻
頁尾	頁腳
頁首	頁眉
預設	缺省
預設值	默認值
頻寬	帶寬
類别範本	類模板
類比	模擬
類比電子	模擬電子
類比電路	模擬電路
顯示卡	顯卡
馬利共和國	馬里共和國
馬爾地夫	馬爾代夫
高級	高級
高階	高端 高級
高階函數	高階函數
點選	點擊
點陣圖	位圖
