一个巴掌拍不响	一個巴掌拍不響
叱咤叱咤叱咤咤	叱吒叱吒叱吒吒
右分枝关系从句	右分枝關係從句
吃亏就是占便宜	吃虧就是佔便宜
吃葱吃蒜不吃姜	吃蔥吃蒜不吃薑
吉伯特氏症候群	吉伯特氏症候羣
吉里巴斯共和国	吉里巴斯共和國
吊死鬼的裹脚布	吊死鬼的裹腳布
同是天涯沦落人	同是天涯淪落人
同步辐射加速器	同步輻射加速器
后续的解释过程	後續的解釋過程
君子言先不言后	君子言先不言後
听不得一面之词	聽不得一面之詞
吾为之范我驰驱	吾爲之範我馳驅
咬折丁子的老婆	咬折丁子的老婆
哄了一日是两晌	哄了一日是兩晌
哑妇倾杯反受殃	啞婦傾杯反受殃
哪里摔倒哪里爬	哪裏摔倒哪裏爬
噶拉多杰仁波切	噶拉多傑仁波切
四千四百五十万	四千四百五十萬
国家发展改革委	國家發展改革委
国家外汇管理局	國家外匯管理局
国家旅游度假区	國家旅遊度假區
国家计划委员会	國家計劃委員會
国建学术联谊会	國建學術聯誼會
国立历史博物馆	國立歷史博物館
国立台湾博物馆	國立臺灣博物館
国立台湾图书馆	國立臺灣圖書館
国际体操联合会	國際體操聯合會
国际先驱论坛报	國際先驅論壇報
国际标准化组织	國際標準化組織
国际航空联合会	國際航空聯合會
国际足球联合会	國際足球聯合會
地老天荒不了情	地老天荒不了情
培特曼赫鲁威克	培特曼赫魯威克
基本多文种平面	基本多文種平面
基里巴斯共和国	基裏巴斯共和國
塔克拉玛干沙漠	塔克拉瑪干沙漠
塞尔维亚民主党	塞爾維亞民主黨
夏虫不可以语冰	夏蟲不可以語冰
外交关系理事会	外交關係理事會
外屋里的灶君爷	外屋裏的竈君爺
多媒体简报系统	多媒體簡報系統
大丈夫志在四方	大丈夫志在四方
大厂回族自治县	大廠回族自治縣
大山谷州立大学	大山谷州立大學
大水冲倒龙王庙	大水沖倒龍王廟
大水冲倒龙王殿	大水沖倒龍王殿
大脑出血性中风	大腦出血性中風
大角度俯冲轰炸	大角度俯衝轟炸
大象口里拔生牙	大象口裏拔生牙
天冬苯丙二肽酯	天冬苯丙二肽酯
太平洋联合铁路	太平洋聯合鐵路
太阳微系统公司	太陽微系統公司
夫妻无隔宿之仇	夫妻無隔宿之仇
夫妻本是同林鸟	夫妻本是同林鳥
头发胡子一把抓	頭髮鬍子一把抓
奥林匹克体育场	奧林匹克體育場
奥林匹克运动会	奧林匹克運動會
奶妈怀里的孩子	奶媽懷裏的孩子
好了疮口忘了痛	好了瘡口忘了痛
好了疮疤忘了痛	好了瘡疤忘了痛
好汉不怕出身低	好漢不怕出身低
好汉不论出身低	好漢不論出身低
好汉做事好汉当	好漢做事好漢當
好汉只怕病来磨	好漢只怕病來磨
好话当作耳边风	好話當作耳邊風
如入宝山空手回	如入寶山空手回
婴儿猝死症候羣	嬰兒猝死症候羣
婴儿猝死综合症	嬰兒猝死綜合症
子宫內膜异位症	子宮內膜異位症
孟村回族自治县	孟村回族自治縣
宁夏回族自治区	寧夏回族自治區
安地卡及巴布达	安地卡及巴布達
安提瓜和巴布达	安提瓜和巴布達
官不怕大只怕管	官不怕大只怕管
察哈尔右翼后旗	察哈爾右翼後旗
寿险责任准备金	壽險責任準備金
山地管制游览区	山地管制遊覽區
山雨欲来风满楼	山雨欲來風滿樓
岫岩满族自治县	岫巖滿族自治縣
巴尔贝里尼宫殿	巴爾貝里尼宮殿
巴布亚新几内亚	巴布亞新幾內亞
巴布亚纽几內亚	巴布亞紐幾內亞
巴布亚纽几内亚	巴布亞紐幾內亞
巴贝西亚原虫病	巴貝西亞原蟲病
布兰妮斯皮尔斯	布蘭妮斯皮爾斯
布列兹涅夫主义	布列茲涅夫主義
布宜诺斯艾利斯	布宜諾斯艾利斯
布拉马普得拉河	布拉馬普得拉河
布里斯托尔海峡	布里斯托爾海峽
帖撒罗尼迦后书	帖撒羅尼迦後書
干敲梆子不卖油	乾敲梆子不賣油
幸于始者怠于终	幸於始者怠於終
幸福女人小公主	幸福女人小公主
库木吐拉千佛洞	庫木吐拉千佛洞
应收帐款周转率	應收帳款週轉率
开放性医疗制度	開放性醫療制度
异频雷达收发机	異頻雷達收發機
弄了个鱼头来拆	弄了個魚頭來拆
弗里德里希席勒	弗里德里希席勒
当家三年狗也嫌	當家三年狗也嫌
当家才知柴米价	當家纔知柴米價
当家方知柴米贵	當家方知柴米貴
当面银子对面钱	當面銀子對面錢
得放手时须放手	得放手時須放手
德国统一社会党	德國統一社會黨
德意志关税同盟	德意志關稅同盟
心有余而力不足	心有餘而力不足
急水也有回头浪	急水也有回頭浪
恶人自有恶人磨	惡人自有惡人磨
情人眼里出西施	情人眼裏出西施
情人眼里有西施	情人眼裏有西施
戴姆勒克莱斯勒	戴姆勒克萊斯勒
房地产共同基金	房地產共同基金
才可容颜十五余	纔可容顏十五餘
打了个落花流水	打了個落花流水
打墙板儿翻上下	打牆板兒翻上下
打开板壁讲亮话	打開板壁講亮話
打狗不看主人面	打狗不看主人面
打老鼠伤了玉瓶	打老鼠傷了玉瓶
拒人于千里之外	拒人於千里之外
拔了萝卜地皮宽	拔了蘿蔔地皮寬
拨开云雾见青天	撥開雲霧見青天
拨接式数据通信	撥接式數據通信
拿着鸡毛当令箭	拿着雞毛當令箭
挑得篮里便是菜	挑得籃裏便是菜
换算无收获面积	換算無收穫面積
推倒了油瓶不扶	推倒了油瓶不扶
摊薄后每股盈利	攤薄後每股盈利
放一百二十个心	放一百二十個心
放之四海而皆准	放之四海而皆准
放射性发光材料	放射性發光材料
敏于事而慎于言	敏於事而慎於言
敦克尔克大撤退	敦克爾克大撤退
数据调制解调器	數據調制解調器
整合式配线系统	整合式配綫系統
整合管理资讯化	整合管理資訊化
斯洛伐克共和国	斯洛伐克共和國
昌吉回族自治州	昌吉回族自治州
明中舍去暗中来	明中捨去暗中來
春凳折了靠背儿	春凳折了靠背兒
春宵一刻值千金	春宵一刻值千金
是非只为多开口	是非只爲多開口
曼苏尔．达杜拉	曼蘇爾．達杜拉
有仇不报非君子	有仇不報非君子
有宝何必人前夸	有寶何必人前誇
有晚娘就有晚爷	有晚娘就有晚爺
有缘千里来相会	有緣千里來相會
有被种子植物纲	有被種子植物綱
有钱不买半年闲	有錢不買半年閒
木里藏族自治县	木裏藏族自治縣
本杰明富兰克林	本傑明富蘭克林
杭州萝卜绍兴种	杭州蘿蔔紹興種
杯底不可饲金鱼	杯底不可飼金魚
松桃苗族自治县	松桃苗族自治縣
柏克里克千佛洞	柏克里克千佛洞
柳暗花明又一村	柳暗花明又一村
树欲息而风不停	樹欲息而風不停
树欲静而风不止	樹欲靜而風不止
格林威治天文台	格林威治天文臺
梁山伯与祝英台	梁山伯與祝英臺
模里西斯共和国	模里西斯共和國
横眉冷对千夫指	橫眉冷對千夫指
歇洛克福尔摩斯	歇洛克福爾摩斯
正电子发射体层	正電子發射體層
正电子发射层析	正電子發射層析
毒药苦口利于病	毒藥苦口利於病
水流內布袋戏台	水流內布袋戲臺
汉弥登钟表公司	漢彌登鐘錶公司
江南机器制造局	江南機器製造局
汤姆索亚历险记	湯姆索亞歷險記
没个黑家白日的	沒個黑家白日的
没有闲钱补笊篱	沒有閒錢補笊籬
河里孩儿岸上娘	河裏孩兒岸上孃
洋浦经济开发区	洋浦經濟開發區
济州特别自治道	濟州特別自治道
浪子回头金不换	浪子回頭金不換
海湾合作理事会	海灣合作理事會
涡轮喷气发动机	渦輪噴氣發動機
满城尽带黄金甲	滿城盡帶黃金甲
烦恼皆因强出头	煩惱皆因強出頭
焉耆回族自治县	焉耆回族自治縣
然身死才数月耳	然身死纔數月耳
煮熟的鸭子飞了	煮熟的鴨子飛了
爱之适足以害之	愛之適足以害之
牵一发而动全身	牽一髮而動全身
犹太复国主义者	猶太復國主義者
狗嘴里还有象牙	狗嘴裏還有象牙
独立国家联合体	獨立國家聯合體
猪八戒吃人参果	豬八戒吃人參果
猫儿见了鱼鲜饭	貓兒見了魚鮮飯
电缆调制解调器	電纜調制解調器
电脑图书出版业	電腦圖書出版業
白雪公主症候羣	白雪公主症候羣
百万吨级核武器	百萬噸級核武器
皮划艇激流回旋	皮劃艇激流回旋
皮尔斯布洛斯南	皮爾斯布洛斯南
盎格鲁萨克逊人	盎格魯薩克遜人
直销式传销制度	直銷式傳銷制度
眉毛胡子一把抓	眉毛鬍子一把抓
眼泪往肚子里流	眼淚往肚子裏流
眼里揉不下沙子	眼裏揉不下沙子
知人知面不知心	知人知面不知心
矬子里头选将军	矬子裏頭選將軍
石油输出国组织	石油輸出國組織
破蒸笼只会撒气	破蒸籠只會撒氣
破风筝抖起来了	破風箏抖起來了
科学技术现代化	科學技術現代化
科尔沁左翼后旗	科爾沁左翼後旗
科罗拉多大峡谷	科羅拉多大峽谷
秤砣虽小压千斤	秤砣雖小壓千斤
空中交通管制员	空中交通管制員
空气喷气发动机	空氣噴氣發動機
符拉迪沃斯托克	符拉迪沃斯託克
符拉迪沃斯讬克	符拉迪沃斯託克
等效百万吨当量	等效百萬噸當量
索尔兹伯里平原	索爾茲伯里平原
索尔兹伯里石环	索爾茲伯里石環
细雨蒙蒙忆当年	細雨濛濛憶當年
给个棒锤当针认	給個棒錘當針認
综合业务数字网	綜合業務數字網
网路上同步开票	網路上同步開票
罗夏克墨渍测验	羅夏克墨漬測驗
罗密欧与朱丽叶	羅密歐與朱麗葉
罗密欧与茱丽叶	羅密歐與茱麗葉
置之死地而后生	置之死地而後生
羊毛出在羊身上	羊毛出在羊身上
羊肉落在狗嘴里	羊肉落在狗嘴裏
美国总统报复权	美國總統報復權
美国标准交换码	美國標準交換碼
翻手作云复手雨	翻手作雲覆手雨
翻把恩人当仇人	翻把恩人當仇人
老太婆的裹脚布	老太婆的裹腳布
老鸹窝里出凤凰	老鴰窩裏出鳳凰
耳朵里冒出脚来	耳朵裏冒出腳來
联合国粮农组织	聯合國糧農組織
股票投资获利率	股票投資獲利率
肥水不过别人田	肥水不過別人田
肺炎克雷伯氏菌	肺炎克雷伯氏菌
胖姑娘坐小轿儿	胖姑娘坐小轎兒
胜负乃兵家常事	勝負乃兵家常事
胜败乃兵家常事	勝敗乃兵家常事
胜过一个诸葛亮	勝過一個諸葛亮
腰椎间盘突出症	腰椎間盤突出症
航空母舰战斗群	航空母艦戰鬥羣
艾维斯普里斯莱	艾維斯普里斯萊
苏格兰女王玛丽	蘇格蘭女王瑪麗
苏联最高苏维埃	蘇聯最高蘇維埃
苏里安提沙洛索	蘇里安提沙洛索
英雄只怕病来磨	英雄只怕病來磨
茄二十八星瓢虫	茄二十八星瓢蟲
葫芦里卖甚么药	葫蘆裏賣甚麼藥
蒙古人民共和国	蒙古人民共和國
虚拟通道标志符	虛擬通道標誌符
融合式翼梢小翼	融合式翼梢小翼
褶皱山系火地岛	褶皺山系火地島
覆巢之下无完卵	覆巢之下無完卵
见了和尚骂贼秃	見了和尚罵賊禿
见了新人忘旧人	見了新人忘舊人
观光游憩性资源	觀光遊憩性資源
解铃仍须系铃人	解鈴仍須繫鈴人
解铃还是系铃人	解鈴還是繫鈴人
解铃还须系铃人	解鈴還須繫鈴人
计算机集成制造	計算機集成制造
认知神经心里学	認知神經心裏學
识时务者为俊杰	識時務者爲俊傑
诗词曲语辞汇释	詩詞曲語辭匯釋
说嘴郎中无好药	說嘴郎中無好藥
败子回头金不换	敗子回頭金不換
贪婪是万恶之源	貪婪是萬惡之源
资料库管理系统	資料庫管理系統
赔了夫人又折兵	賠了夫人又折兵
跨通道启动技术	跨通道啓動技術
跳出釜底进火坑	跳出釜底進火坑
跳梁猖獗之小丑	跳樑猖獗之小醜
过了这村没这店	過了這村沒這店
过了青春无少年	過了青春無少年
运输设备修护费	運輸設備修護費
近视眼生了瞎子	近視眼生了瞎子
远水救不了近火	遠水救不了近火
连鬼也不见一个	連鬼也不見一個
通用资源识别号	通用資源識別號
逢人只说三分话	逢人只說三分話
道不同不相为谋	道不同不相爲謀
那个猫儿不吃腥	那個貓兒不吃腥
那个耗子不偷油	那個耗子不偷油
鄂温克族自治旗	鄂溫克族自治旗
酒逢知己千锺少	酒逢知己千鍾少
醋娘子要食杨梅	醋娘子要食楊梅
铜盆撞了铁扫帚	銅盆撞了鐵掃帚
银行利害关系人	銀行利害關係人
镰形血球贫血症	鐮形血球貧血症
长坂坡七进七出	長阪坡七進七出
门源回族自治县	門源回族自治縣
门神里边卷灶爷	門神裏邊捲竈爺
防锁死煞车系统	防鎖死煞車系統
阴极射线示波器	陰極射綫示波器
阶级斗争熄灭论	階級鬥爭熄滅論
阿兹海默症病患	阿茲海默症病患
阿加莎克里斯蒂	阿加莎克裏斯蒂
阿尔茨海默氏症	阿爾茨海默氏症
阿拉伯共同市场	阿拉伯共衕市場
陪了夫人又折兵	陪了夫人又折兵
陷之死地而后生	陷之死地而後生
隧道尽头的光亮	隧道盡頭的光亮
雅鲁藏布大峡谷	雅魯藏布大峽谷
雷射血管成形术	雷射血管成形術
需要是发明之母	需要是發明之母
露出了狐狸尾巴	露出了狐狸尾巴
露营休闲车旅游	露營休閒車旅遊
青康滇纵谷高原	青康滇縱谷高原
非同步传输模式	非同步傳輸模式
非游离辐射伤害	非游離輻射傷害
面向对象的技术	面嚮對象的技術
面朝黄土背朝天	面朝黃土背朝天
革命发展阶段论	革命發展階段論
韩国联合通讯社	韓國聯合通訊社
顶梁骨走了真魂	頂梁骨走了真魂
须将有日思无日	須將有日思無日
风吹砂子迷了眼	風吹砂子迷了眼
飞航资料记录器	飛航資料記錄器
食品药品监督局	食品藥品監督局
饱人不知饿人饥	飽人不知餓人飢
饱汉不知饿汉饥	飽漢不知餓漢飢
香格里拉怡咖啡	香格里拉怡咖啡
香港工会联合会	香港工會聯合會
香港贸易发展局	香港貿易發展局
马克思列宁主义	馬克思列寧主義
马蹄刀瓢里切菜	馬蹄刀瓢裏切菜
高丽八万大藏经	高麗八萬大藏經
高速缓冲存储器	高速緩衝存儲器
鲁般手里调大斧	魯般手裏調大斧
麦克罗尼西亚人	麥克羅尼西亞人
麻婆子的裹脚布	麻婆子的裹腳布
龙游浅水遭虾戏	龍游淺水遭蝦戲
龙胜各族自治县	龍勝各族自治縣
