一个富贵心两只体面眼	一個富貴心兩隻體面眼
不孝有三无后为大	不孝有三無後爲大
不干不淨吃了没病	不乾不淨吃了沒病
不怕一万就怕万一	不怕一萬就怕萬一
不怕县官只怕现管	不怕縣官只怕現管
不是东风压了西风就是西风压了东风	不是東風壓了西風就是西風壓了東風
不的个风儿就雨儿	不的個風兒就雨兒
不知出于何种原因	不知出於何種原因
不知葫芦里卖甚么药	不知葫蘆裏賣甚麼藥
不管生癣生疮我只生癞	不管生癬生瘡我只生癩
不管讲鸡讲鸭我只讲鹅	不管講雞講鴨我只講鵝
不能流芳百世也要遗臭万年	不能流芳百世也要遺臭萬年
不说话没人当你是哑吧	不說話沒人當你是啞吧
与君一席话胜读十年书	與君一席話勝讀十年書
丑媳妇总得要见公婆	醜媳婦總得要見公婆
世上无难事只怕有心人	世上無難事只怕有心人
世情看冷暖人面逐高低	世情看冷暖人面逐高低
世界维吾尔代表大会	世界維吾爾代表大會
东作既失秋成无望	東作既失秋成無望
东边日出西边下雨	東邊日出西邊下雨
两只脚赶不上一张嘴	兩隻腳趕不上一張嘴
两岸人民关系条例	兩岸人民關係條例
两虎相斗必有一伤	兩虎相鬥必有一傷
中华学生爱国民主同盟	中華學生愛國民主同盟
中华文化复兴运动	中華文化復興運動
中华文化复兴运动总会	中華文化復興運動總會
中华苏维埃共和国	中華蘇維埃共和國
中台医事技术专科学校	中臺醫事技術專科學校
中台医护技术学院	中臺醫護技術學院
中国共产主义青年团	中國共產主義青年團
中国共产党中央委员会	中國共產黨中央委員會
中国共产党中央委员会宣传部	中國共產黨中央委員會宣傳部
中国国民党革命委员会	中國國民黨革命委員會
中国国际信托投资公司	中國國際信托投資公司
中国国际广播电台	中國國際廣播電臺
中国大百科全书出版社	中國大百科全書出版社
中国文学艺术界联合会	中國文學藝術界聯合會
中国残疾人联合会	中國殘疾人聯合會
中国游艺机游乐园协会	中國遊藝機遊樂園協會
中国石油天然气集团公司	中國石油天然氣集團公司
中国精密机械进出口公司	中國精密機械進出口公司
中国航天技术进出口公司	中國航天技術進出口公司
中国船舶重工集团公司	中國船舶重工集團公司
中国青年反共救国团	中國青年反共救國團
中心埋置关系从句	中心埋置關係從句
中日韩统一表意文字	中日韓統一表意文字
中苏解决悬案大纲协定	中蘇解決懸案大綱協定
丰若有肌柔若无骨	豐若有肌柔若無骨
丹尼尔雷德克里夫	丹尼爾雷德克里夫
乌狗吃食白狗当灾	烏狗吃食白狗當災
乔修亚．吉尔菲艾斯	喬修亞．吉爾菲艾斯
九头牛也拽不出去	九頭牛也拽不出去
九寨沟风景名胜区	九寨溝風景名勝區
事不三思终有后悔	事不三思終有後悔
事不关己高高挂起	事不關己高高掛起
事修而谤兴德高而毁来	事修而謗興德高而毀來
事有斗巧物有故然	事有鬥巧物有故然
事物的本质重于外在	事物的本質重於外在
二人同心其利断金	二人同心其利斷金
二虎相斗必有一伤	二虎相鬥必有一傷
五度制调值标记法	五度制調值標記法
亚历山大杜布切克	亞歷山大杜布切克
亚太安全合作会议	亞太安全合作會議
亚太经济合作会议	亞太經濟合作會議
亚太经济合作组织	亞太經濟合作組織
人不可貌相海水不可斗量	人不可貌相海水不可斗量
人同此心心同此理	人同此心心同此理
人心不同各如其面	人心不同各如其面
人急悬梁狗急跳墙	人急懸梁狗急跳牆
人无千日好花无百日红	人無千日好花無百日紅
人是苦虫不打不招	人是苦蟲不打不招
人有千算天有一算	人有千算天有一算
人生一世草生一秋	人生一世草生一秋
人生不满百常怀千岁忧	人生不滿百常懷千歲憂
人生短暂学术无涯	人生短暫學術無涯
仇人相见分外眼红	仇人相見分外眼紅
从善如登从恶如崩	從善如登從惡如崩
仓老鼠和老鸹去借粮	倉老鼠和老鴰去借糧
任凭风浪起稳坐钓鱼台	任憑風浪起穩坐釣魚臺
伊犁哈萨克自治州	伊犁哈薩克自治州
但得一片橘皮吃且莫忘了洞庭湖	但得一片橘皮吃且莫忘了洞庭湖
你有千条妙计我有一定之规	你有千條妙計我有一定之規
信用卡线上订购系统	信用卡綫上訂購系統
借米下得锅讨米下不得锅	借米下得鍋討米下不得鍋
做一天和尚撞一天钟	做一天和尚撞一天鐘
儿不嫌母丑犬不怨主贫	兒不嫌母醜犬不怨主貧
元培医事技术学校	元培醫事技術學校
先天下之忧而忧后天下之乐而乐	先天下之憂而憂后天下之樂而樂
先天不足后天失调	先天不足後天失調
光纤分布式数据介面	光纖分佈式數據介面
光纤分布数据接口	光纖分佈數據接口
光纤分散式资料介面	光纖分散式資料介面
光纤通讯干道网路系统	光纖通訊幹道網路系統
克孜勒苏柯尔克孜自治州	克孜勒蘇柯爾克孜自治州
克孜尔尕哈烽火台	克孜爾尕哈烽火臺
克拉斯诺亚尔斯克	克拉斯諾亞爾斯克
克莱斯勒汽车公司	克萊斯勒汽車公司
入口匝道号志管制	入口匝道號誌管制
全世界无产者联合起来	全世界無產者聯合起來
全国人民代表大会	全國人民代表大會
全国人民代表大会常务委员会	全國人民代表大會常務委員會
全国敎育资讯服务系统	全國敎育資訊服務系統
全球位置测定系统	全球位置測定系統
全球卫星导航系统	全球衛星導航系統
全球定位系统卫星测量	全球定位系統衛星測量
全球环境变迁资讯系统	全球環境變遷資訊系統
全面禁止核试验条约	全面禁止核試驗條約
关岭布依族苗族自治县	關嶺布依族苗族自治縣
养儿待老积谷防饥	養兒待老積穀防饑
养儿防老积谷防饥	養兒防老積穀防飢
养兵千日用兵一时	養兵千日用兵一時
养兵千日用在一时	養兵千日用在一時
养兵千日用在一朝	養兵千日用在一朝
养军千日用军一时	養軍千日用軍一時
养军千日用在一时	養軍千日用在一時
养军千日用在一朝	養軍千日用在一朝
养子防老积谷防饥	養子防老積穀防飢
养小防老积谷防饥	養小防老積穀防饑
兼听则明偏信则暗	兼聽則明偏信則暗
军品出口领导小组	軍品出口領導小組
农村家庭联产承包责任制	農村家庭聯產承包責任制
冠状动脉旁路移植手术	冠狀動脈旁路移植手術
冠状动脉旁通手术	冠狀動脈旁通手術
冰生于水而寒于水	冰生於水而寒於水
几內亚比索共和国	幾內亞比索共和國
凡事总有一个开头	凡事總有一個開頭
出其不意攻其不备	出其不意攻其不備
分久必合合久必分	分久必合合久必分
别人的孩子死不完	別人的孩子死不完
别人肉帖不在腮颊上	別人肉帖不在腮頰上
前不巴村后不巴店	前不巴村後不巴店
前事不忘后事之师	前事不忘後事之師
前人失脚后人把滑	前人失腳後人把滑
前人撒土迷了后人的眼	前人撒土迷了後人的眼
前人栽树后人乘凉	前人栽樹後人乘涼
前无古人后无来者	前無古人後無來者
前车之覆后车之鉴	前車之覆後車之鑑
前郭尔罗斯蒙古族自治县	前郭爾羅斯蒙古族自治縣
前门不进师姑后门不进和尚	前門不進師姑後門不進和尚
前门打虎后门打狼	前門打虎後門打狼
前门拒虎后门进狼	前門拒虎後門進狼
力田不如逢年善仕不如遇合	力田不如逢年善仕不如遇合
功能磁共振成像术	功能磁共振成像術
加勒比海共同市场	加勒比海共同市場
北京国家游泳中心	北京國家游泳中心
北京汽车制造厂有限公司	北京汽車製造廠有限公司
十个明星当不的月	十個明星當不的月
十八的姑娘一朵花	十八的姑娘一朵花
十六位元个人电脑	十六位元個人電腦
千军易得一将难求	千軍易得一將難求
千差万差来人不差	千差萬差來人不差
千算万算不值天一划	千算萬算不值天一劃
千羊之皮不如一狐之腋	千羊之皮不如一狐之腋
千里之堤溃于蚁穴	千里之堤潰於蟻穴
千里之行始于足下	千里之行始於足下
千里做官为的吃穿	千里做官爲的吃穿
千里达及托巴哥共和国	千里達及托巴哥共和國
千里送鹅毛礼轻人意重	千里送鵝毛禮輕人意重
千里送鹅毛礼轻情意重	千里送鵝毛禮輕情意重
千里馈粮士有饥色	千里饋糧士有飢色
千金之子坐不垂堂	千金之子坐不垂堂
千金之裘非一狐之腋	千金之裘非一狐之腋
千镒之裘非一狐之白	千鎰之裘非一狐之白
单端孢霉烯类毒素中毒症	單端孢黴烯類毒素中毒症
卖炭的掉在面缸里	賣炭的掉在麵缸裏
卖荳腐点了河滩地	賣荳腐點了河灘地
南亚区域合作联盟	南亞區域合作聯盟
博尔塔拉蒙古自治州	博爾塔拉蒙古自治州
原发性进行性失语	原發性進行性失語
双江拉祜族佤族布朗族傣族自治县	雙江拉祜族佤族布朗族傣族自治縣
发行量加权股价指数	發行量加權股價指數
取之不尽用之不竭	取之不盡用之不竭
只可意会不可言传	只可意會不可言傳
只有出的气没有进的气	只有出的氣沒有進的氣
只此一家别无分店	只此一家別無分店
只知其一不知其二	只知其一不知其二
只知有己不知有人	只知有己不知有人
只要功夫深铁杵磨成针	只要功夫深鐵杵磨成針
只见树木不见森林	只見樹木不見森林
只许州官放火不许百姓点灯	只許州官放火不許百姓點燈
可擦写可编程只读存储器	可擦寫可編程只讀存儲器
台北地理资讯系统	臺北地理資訊系統
台北工业专科学校	臺北工業專科學校
台北市政府捷运工程局	臺北市政府捷運工程局
台北市立体育学院	臺北市立體育學院
台北市立师范学校	臺北市立師範學校
台北市立敎育大学	臺北市立敎育大學
台北护理专科学校	臺北護理專科學校
台南女子技术学院	臺南女子技術學院
台南家政专科学校	臺南家政專科學校
台南科学工业园区	臺南科學工業園區
台湾大学附属医学院	臺灣大學附屬醫學院
台湾工业技术学院	臺灣工業技術學院
台湾民主自治同盟	臺灣民主自治同盟
台湾汽车客运公司	臺灣汽車客運公司
台湾省政府敎育厅	臺灣省政府敎育廳
台湾省政府林业试验所	臺灣省政府林業試驗所
台湾省政府消防处	臺灣省政府消防處
台湾省政府警政厅	臺灣省政府警政廳
台湾省政府财政厅	臺灣省政府財政廳
台湾艺术专科学校	臺灣藝術專科學校
台湾警察专科学校	臺灣警察專科學校
台湾证券集中保管公司	臺灣證券集中保管公司
吃了蜜蜂儿屎似的	吃了蜜蜂兒屎似的
吃人一个蛋恩情无法断	吃人一個蛋恩情無法斷
吃饭别忘了种谷人	吃飯別忘了種穀人
各人儿洗面儿各人儿光	各人兒洗面兒各人兒光
同一个世界同一个梦想	同一個世界同一個夢想
同步辐射研究中心	同步輻射研究中心
后天免疫缺乏症候羣	後天免疫缺乏症候羣
君子交绝不出恶声	君子交絕不出惡聲
君子坦荡荡小人长戚戚	君子坦蕩蕩小人長慼慼
君子报仇十年不晚	君子報仇十年不晚
周郎妙计高天下赔了夫人又折兵	周郎妙計高天下賠了夫人又折兵
和布克赛尔蒙古自治县	和布克賽爾蒙古自治縣
哈克贝利芬历险记	哈克貝利芬歷險記
哑巴吃黄连有苦说不出	啞巴吃黃連有苦說不出
唐胖子吊在醋缸里	唐胖子吊在醋缸裏
喀喇沁左翼蒙古族自治县	喀喇沁左翼蒙古族自治縣
善有善报恶有恶报	善有善報惡有惡報
善有善报恶有恶报若然不报时晨未到	善有善報惡有惡報若然不報時晨未到
喫亏的是乖占便宜的是呆	喫虧的是乖占便宜的是呆
嘉南药理科技大学	嘉南藥理科技大學
四体不勤五谷不分	四體不勤五穀不分
围场满族蒙古族自治县	圍場滿族蒙古族自治縣
国务院台湾事务办公室	國務院臺灣事務辦公室
国家发展和改革委员会	國家發展和改革委員會
国家发展计划委员会	國家發展計劃委員會
国家文物鉴定委员会	國家文物鑑定委員會
国家标准中文交换码	國家標準中文交換碼
国家标准化管理委员会	國家標準化管理委員會
国家永续发展论坛	國家永續發展論壇
国家空气品质标准	國家空氣品質標準
国家食品药品监督管理局	國家食品藥品監督管理局
国民常用字标准字体表	國民常用字標準字體表
国科会同步幅射研究中心	國科會同步幅射研究中心
国科会晶片设计制作中心	國科會晶片設計製作中心
国科会精密仪器发展中心	國科會精密儀器發展中心
国立台北科技大学	國立臺北科技大學
国立台湾技术大学	國立臺灣技術大學
国立敎育广播电台	國立敎育廣播電臺
国语注音符号第一式	國語注音符號第一式
国语注音符号第二式	國語注音符號第二式
国际奥林匹克委员会	國際奧林匹克委員會
国际漫游拨接服务	國際漫遊撥接服務
国际电影制片人协会联盟	國際電影製片人協會聯盟
国际羽毛球联合会	國際羽毛球聯合會
图书餐饮复合式餐厅	圖書餐飲複合式餐廳
圣皮埃尔和密克隆	聖皮埃爾和密克隆
在天愿做比翼鸟在地愿做连理枝	在天願做比翼鳥在地願做連理枝
在家千日好出门一时难	在家千日好出門一時難
在家靠父母出外靠朋友	在家靠父母出外靠朋友
坦尚尼亚联合共和国	坦尚尼亞聯合共和國
塔什库尔干塔吉克自治县	塔什庫爾干塔吉克自治縣
塔什库尔干自治县	塔什庫爾干自治縣
塞尔维亚克罗地亚语	塞爾維亞克羅地亞語
士别三日刮目相待	士別三日刮目相待
大不列颠与北爱尔兰联合王国	大不列顛與北愛爾蘭聯合王國
大事化小小事化了	大事化小小事化了
大湄公河次区域合作	大湄公河次區域合作
大白日里借不出个干灯盏来	大白日裏借不出個乾燈盞來
大目干连冥间救母变文	大目乾連冥間救母變文
大缸里翻油沿路拾芝麻	大缸裏翻油沿路拾芝麻
大通回族土族自治县	大通回族土族自治縣
大门不出二门不迈	大門不出二門不邁
大难不死必有后禄	大難不死必有後祿
大难不死必有后福	大難不死必有後福
天下大势分久必合合久必分	天下大勢分久必合合久必分
天下安注意相天下危注意将	天下安注意相天下危注意將
天下无难事只怕有心人	天下無難事只怕有心人
天无三日晴地无三里平	天無三日晴地無三里平
天有不测风云人有旦夕祸福	天有不測風雲人有旦夕禍福
天要下雨娘要嫁人	天要下雨孃要嫁人
天要落雨娘要嫁人	天要落雨孃要嫁人
太公钓鱼愿者上钩	太公釣魚願者上鉤
太阳照在桑干河上	太陽照在桑乾河上
失之毫厘差之千里	失之毫釐差之千里
失之毫厘差以千里	失之毫釐差以千里
失之毫厘谬以千里	失之毫厘謬以千里
头上打一下脚底板响	頭上打一下腳底板響
头脑简单四肢发达	頭腦簡單四肢發達
奥林匹克运动会组织委员会	奧林匹克運動會組織委員會
好事不出门坏事传千里	好事不出門壞事傳千里
好事不出门恶事传千里	好事不出門惡事傳千里
好事不出门恶事行千里	好事不出門惡事行千里
好人不长寿祸害一千年	好人不長壽禍害一千年
好借好还再借不难	好借好還再借不難
好好学习天天向上	好好學習天天向上
好心倒做了驴肝肺	好心倒做了驢肝肺
好时是他人恶时是家人	好時是他人惡時是家人
姜太公钓鱼愿者上钩	薑太公釣魚願者上鉤
威宁彝族回族苗族自治县	威寧彝族回族苗族自治縣
嫁出去的女儿泼出去的水	嫁出去的女兒潑出去的水
孝重千斤日减一斤	孝重千斤日減一斤
宁为鸡口不为牛后	寧爲雞口不爲牛後
宁为鸡口无为牛后	寧爲雞口無爲牛後
宁分数斗莫增一口	寧分數斗莫增一口
宁可折本休要饥损	寧可折本休要饑損
宁可无了有不可有了无	寧可無了有不可有了無
宁撞金钟一下不打破鼓三千	寧撞金鐘一下不打破鼓三千
安东尼与克莉奥佩特拉	安東尼與克莉奧佩特拉
安徽建筑工业学院	安徽建築工業學院
实践是检验真理的唯一标准	實踐是檢驗真理的唯一標準
家丑不可外传流言切莫轻信	家醜不可外傳流言切莫輕信
家有千口主事一人	家有千口主事一人
家有千贯不如日进分文	家有千貫不如日進分文
家有千金不如日进分文	家有千金不如日進分文
家有敝帚享之千金	家有敝帚享之千金
家累千金坐不垂堂	家累千金坐不垂堂
家鸡打的团团转野鸡打的贴天飞	家雞打的團團轉野雞打的貼天飛
密闭式循环再呼吸水肺系统	密閉式循環再呼吸水肺系統
寒武纪生命大爆发	寒武紀生命大爆發
寓管理于服务之中	寓管理于服務之中
察布查尔锡伯自治县	察布査爾錫伯自治縣
对外贸易经济合作部	對外貿易經濟合作部
寻甸回族彝族自治县	尋甸回族彝族自治縣
导弹武器技术控制制度	導彈武器技術控制制度
小时了了大未必佳	小時了了大未必佳
居民消费价格指数	居民消費價格指數
山中方七日世上已千年	山中方七日世上已千年
巍山彝族回族自治县	巍山彝族回族自治縣
工欲善其事必先利其器	工欲善其事必先利其器
巧妇做不得无面馎饦	巧婦做不得無麵餺飥
差之毫厘失之千里	差之毫釐失之千里
差之毫厘缪以千里	差之毫釐繆以千里
差之毫厘谬以千里	差之毫釐謬以千里
差以毫厘失之千里	差以毫釐失之千里
差以豪厘谬以千里	差以豪釐謬以千里
差若豪厘缪以千里	差若豪釐繆以千里
己所不欲勿施于人	己所不欲勿施於人
已所不欲勿施于人	已所不欲勿施於人
巴里坤哈萨克自治县	巴裏坤哈薩克自治縣
巴音郭愣蒙古自治州	巴音郭愣蒙古自治州
巴音郭楞蒙古自治州	巴音郭楞蒙古自治州
布鲁克海文国家实验室	布魯克海文國家實驗室
布鲁克海文实验室	布魯克海文實驗室
布鲁斯史普林斯汀	布魯斯史普林斯汀
师父领进门修行在个人	師父領進門修行在個人
平地上起一个霹雳	平地上起一個霹靂
平定准噶尔回部得胜图	平定準噶爾回部得勝圖
广东科学技术职业学院	廣東科學技術職業學院
庞毕度国家艺术文化中心	龐畢度國家藝術文化中心
建立正式外交关系	建立正式外交關係
开除党籍行政开除	開除黨籍行政開除
张家川回族自治县	張家川回族自治縣
弱水三千只取一瓢	弱水三千只取一瓢
弱水三千只取一瓢饮	弱水三千只取一瓢飲
强制汽车责任保险法	強制汽車責任保險法
当局称迷傍观必审	當局稱迷傍觀必審
当局者迷傍观者清	當局者迷傍觀者清
当局者迷旁观者清	當局者迷旁觀者清
当断不断反受其乱	當斷不斷反受其亂
得了些颜色就开起染房来	得了些顏色就開起染房來
得克萨斯州沃思堡电	得克薩斯州沃思堡電
得胜的猫儿欢似虎	得勝的貓兒歡似虎
得黄金百不如得季布诺	得黃金百不如得季布諾
得黄金百斤不如得季布一诺	得黃金百斤不如得季布一諾
德国学术交流总署	德國學術交流總署
德意志学术交流中心	德意志學術交流中心
德意志民主共和国	德意志民主共和國
德意志联邦共和国	德意志聯邦共和國
心头小鹿撞个不住	心頭小鹿撞個不住
怒从心上起恶向胆边生	怒從心上起惡向膽邊生
患难之交才是真正的朋友	患難之交纔是真正的朋友
愚者千虑必有一得	愚者千慮必有一得
戏法人人会变巧妙各有不同	戲法人人會變巧妙各有不同
成功的男人后面必有一个奉献的女人	成功的男人後面必有一個奉獻的女人
我们死后将会洪水滔天	我們死後將會洪水滔天
战无不胜攻无不克	戰無不勝攻無不克
战无不胜攻无不取	戰無不勝攻無不取
扁担压不出个屁来	扁擔壓不出個屁來
打狗也要看主人面	打狗也要看主人面
打翻了的牛奶而哭泣	打翻了的牛奶而哭泣
打蛇不死后患无穷	打蛇不死後患無窮
拜科努尔航天发射基地	拜科努爾航天發射基地
拿贼要赃拿奸要双	拿賊要贓拿姦要雙
振兴医疗复健中心	振興醫療復健中心
捉贼见赃捉奸见双	捉賊見贓捉姦見雙
捷克暨斯洛伐克联邦共和国	捷克暨斯洛伐克聯邦共和國
携带式卫星通信系统	攜帶式衛星通信系統
摇车儿里的爷爷拄拐棍儿的孙子	搖車兒裏的爺爺拄拐棍兒的孫子
攻其无备出其不意	攻其無備出其不意
攻无不克战无不胜	攻無不克戰無不勝
放了屁儿却使手掩	放了屁兒卻使手掩
政府机关开放系统互连总则	政府機關開放系統互連總則
救人一命胜造七级浮屠	救人一命勝造七級浮屠
数位快速篆刻系统	數位快速篆刻系統
数据链路连接识别码	數據鏈路連接識別碼
斯里兰卡民主社会主义共和国	斯里蘭卡民主社會主義共和國
新娘进了房媒人扔过墙	新娘進了房媒人扔過牆
旁观者审当局者迷	旁觀者審當局者迷
既有今日何必当初	既有今日何必當初
日出万言必有一伤	日出萬言必有一傷
日出而作日入而息	日出而作日入而息
早知今日何必当初	早知今日何必當初
早知今日悔不当初	早知今日悔不當初
早起的鸟儿有虫吃	早起的鳥兒有蟲吃
时代不同风尚不同	時代不同風尚不同
明修栈道暗渡陈仓	明修棧道暗渡陳倉
明志工业专科学校	明志工業專科學校
明是一盆火暗是一把刀	明是一盆火暗是一把刀
明枪好躲暗箭难防	明槍好躲暗箭難防
明枪易趓暗箭难防	明槍易趓暗箭難防
明枪易躲暗箭难防	明槍易躲暗箭難防
明潭抽蓄水力发电工程	明潭抽蓄水力發電工程
明知山有虎偏向虎山行	明知山有虎偏向虎山行
明知山有虎故作采樵人	明知山有虎故作採樵人
明者视于无形聪者听于无声	明者視於無形聰者聽於無聲
明鎗容易躲暗剑最难防	明鎗容易躲暗劍最難防
明鎗容易躲暗箭最难防	明鎗容易躲暗箭最難防
明鎗易躲暗箭难逃	明鎗易躲暗箭難逃
春生夏长秋收冬藏	春生夏長秋收冬藏
是罐子也有两个耳朵	是罐子也有兩個耳朵
晚娘的拳头云里的日头	晚娘的拳頭雲裏的日頭
普列谢茨克卫星发射场	普列謝茨克衛星發射場
景谷傣族彝族自治县	景谷傣族彝族自治縣
智慧型车辆暨公路系统	智慧型車輛暨公路系統
智者千虑必有一失	智者千慮必有一失
有一分心尽一分力	有一分心盡一分力
有个地洞钻了下去	有個地洞鑽了下去
有了存孝不显彦章	有了存孝不顯彥章
有借有还再借不难	有借有還再借不難
有冤报冤有仇报仇	有冤報冤有仇報仇
有意栽花花不发无心插柳柳成阴	有意栽花花不發無心插柳柳成陰
有福同享有祸同当	有福同享有禍同當
有福同享有难同当	有福同享有難同當
有缘千里来相会无缘对面不相逢	有緣千里來相會無緣對面不相逢
木垒哈萨克自治县	木壘哈薩克自治縣
杀人须见血救人须救彻	殺人須見血救人須救徹
杜尔伯特蒙古族自治县	杜爾伯特蒙古族自治縣
树高千丈落叶归根	樹高千丈落葉歸根
格林威治标准时间	格林威治標準時間
格林尼治标准时间	格林尼治標準時間
梁园虽好不是久恋之家	梁園雖好不是久戀之家
梅里亚姆韦伯斯特	梅里亞姆韋伯斯特
梅里斯达斡尔族区	梅里斯達斡爾族區
棋逢对手将遇良才	棋逢對手將遇良才
棺材出了讨挽歌郎钱	棺材出了討挽歌郎錢
横针不拈竖线不动	橫針不拈豎綫不動
欧洲安全与合作组织	歐洲安全與合作組織
欧洲安全和合作组织	歐洲安全和合作組織
欲人不知莫若勿为	欲人不知莫若勿爲
欲加之罪何患无词	慾加之罪何患無詞
欲加之罪何患无辞	欲加之罪何患無辭
欲善其事必先利其器	慾善其事必先利其器
正电子发射断层照相术	正電子發射斷層照相術
正电子发射计算机断层	正電子發射計算機斷層
正确处理人民内部矛盾	正確處理人民內部矛盾
死有重于泰山轻于鸿毛	死有重於泰山輕於鴻毛
死知府不如一个活老鼠	死知府不如一個活老鼠
每一个人都有美中不足的地方	每一個人都有美中不足的地方
比上不足比下有余	比上不足比下有餘
民和回族土族自治县	民和回族土族自治縣
民用航空器适航证书	民用航空器適航證書
氨基甲酸酯类化合物	氨基甲酸酯類化合物
水里水里来火里火里去	水裏水裏來火裏火裏去
沃枝叶不如培根本	沃枝葉不如培根本
没家亲引不出外鬼来	沒家親引不出外鬼來
没有长羽毛就忘了根本	沒有長羽毛就忘了根本
河南蒙古族自治县	河南蒙古族自治縣
河里淹死是会水的	河裏淹死是會水的
法兰克福证券交易所	法蘭克福證券交易所
法因于敝而成于过	法因於敝而成於過
波士顿艺术博物馆	波士頓藝術博物館
注意力缺陷过动症	注意力缺陷過動症
泰极还生否乐处又逢悲	泰極還生否樂處又逢悲
泰特斯安德洛尼克斯	泰特斯安德洛尼克斯
海峡两岸关系协会	海峽兩岸關係協會
海西蒙古族藏族自治州	海西蒙古族藏族自治州
液体燃料火箭发动机	液體燃料火箭發動機
清酒红人面财帛动人心	清酒紅人面財帛動人心
温布尔登网球公开赛	溫布爾登網球公開賽
满怀心腹事尽在不言中	滿懷心腹事盡在不言中
漏电保护接地极插座	漏電保護接地極插座
漫天要价就地还钱	漫天要價就地還錢
潘金莲给武松敬酒	潘金蓮給武松敬酒
濒危野生动植物种国际贸易公约	瀕危野生動植物種國際貿易公約
火箭喷射推进系统	火箭噴射推進系統
火里火去水里水去	火裏火去水裏水去
烟薰的佛像挂墙上	煙薰的佛像掛牆上
烽烟四起战火纷飞	烽煙四起戰火紛飛
熟读王叔和不如临症多	熟讀王叔和不如臨症多
燕雀安知鸿鹄之志	燕雀安知鴻鵠之志
燕雀焉知鸿鹄之志	燕雀焉知鴻鵠之志
爱丽丝漫游奇境记	愛麗絲漫遊奇境記
爱之欲其生恶之欲其死	愛之欲其生惡之欲其死
父母两系血统主义	父母兩系血統主義
牡丹虽好全仗绿叶扶	牡丹雖好全仗綠葉扶
牡丹虽好全仗绿叶扶持	牡丹雖好全仗綠葉扶持
牡丹虽好全凭绿叶扶持	牡丹雖好全憑綠葉扶持
牡丹虽好终须绿叶扶持	牡丹雖好終須綠葉扶持
狗口里吐不出象牙	狗口裏吐不出象牙
王婆卖瓜自卖自夸	王婆賣瓜自賣自誇
王子犯法与庶民同罪	王子犯法與庶民同罪
玩猫和老鼠的游戏	玩貓和老鼠的遊戲
