一个不小心	一個不小心
伊士曼彩色	伊士曼彩色
伊尔库次克	伊爾庫次克
伊尔库茨克	伊爾庫茨克
伊斯兰历史	伊斯蘭歷史
伊斯兰教历	伊斯蘭敎曆
伊斯兰美术	伊斯蘭美術
伊斯坦布尔	伊斯坦布爾
伊洛渊源录	伊洛淵源錄
伊皮米修斯	伊皮米修斯
众曲不容直	眾曲不容直
伯尔发斯特	伯爾發斯特
何杰金氏病	何杰金氏病
佛罗里达州	佛羅里達州
佛面上刮金	佛面上刮金
作倒了行市	作倒了行市
作息时间表	作息時間表
你才子发昏	你纔子發昏
佩斯托瑞斯	佩斯托瑞斯
使用者介面	使用者介面
供销合作社	供銷合作社
依然范特西	依然範特西
俄克拉何马	俄克拉何馬
俄国共产党	俄國共產黨
保安责任制	保安責任制
信用合作社	信用合作社
倒钟摆效应	倒鐘擺效應
倚晴楼七种	倚晴樓七種
借梯子下楼	借梯子下樓
借酒三分醉	借酒三分醉
偏极滤光镜	偏極濾光鏡
偏相关系数	偏相關係數
做准备工作	做準備工作
傅立叶变换	傅立葉變換
儒略改革历	儒略改革曆
元曲四大家	元曲四大家
元素周期表	元素週期表
先发投手羣	先發投手羣
光效应艺术	光效應藝術
光电二极体	光電二極體
光电二极管	光電二極管
光面内质网	光面內質網
克什克腾旗	克什克騰旗
克分子浓度	克分子濃度
克利斯朵夫	克利斯朵夫
克卜勒定律	克卜勒定律
克娄巴特拉	克婁巴特拉
克孜勒苏河	克孜勒蘇河
克孜尔尕哈	克孜爾尕哈
克拉夫丘克	克拉夫丘克
克拉斯金诺	克拉斯金諾
克拉玛依区	克拉瑪依區
克拉玛依市	克拉瑪依市
克沙奇病毒	克沙奇病毒
克罗地亚语	克羅地亞語
克罗埃西亚	克羅埃西亞
克莉丝汀娜	克莉絲汀娜
克莉丝特丝	克莉絲特絲
克莉斯蒂纳	克莉斯蒂納
克莱伦斯宫	克萊倫斯宮
克里丝蒂娃	克里絲蒂娃
克里夫欧文	克里夫歐文
克里奥尔语	克里奧爾語
克里姆林宫	克里姆林宮
克里姆林杯	克里姆林杯
克里斯伊凡	克里斯伊凡
克里斯托弗	克里斯托弗
克里斯蒂安	克里斯蒂安
克里木半岛	克里木半島
克里木战争	克里木戰爭
內分泌系统	內分泌系統
內外向包办	內外向包辦
內布拉斯加	內布拉斯加
全国大会党	全國大會黨
八万大藏经	八萬大藏經
八级工资制	八級工資制
公认会计准	公認會計准
公路个人赛	公路個人賽
兰里老太太	蘭里老太太
共产党宣言	共產黨宣言
共产党政府	共產黨政府
共产党部队	共產黨部隊
共同交际语	共同交際語
共同决议案	共同決議案
共同被告人	共同被告人
共同财产制	共同財產制
共同通讯社	共同通訊社
共轭不尽根	共軛不盡根
共轭双曲线	共軛雙曲綫
共餐青年团	共餐青年團
关弓与我确	關弓與我确
关系代名词	關係代名詞
兼并与收购	兼併與收購
内在几何学	內在幾何學
内塔尼亚胡	內塔尼亞胡
内布拉斯加	內布拉斯加
内蒙古大学	內蒙古大學
农业合作化	農業合作化
农作物品种	農作物品種
农村合作化	農村合作化
冰上曲棍球	冰上曲棍球
冰火不同炉	冰火不同爐
冰炭不同器	冰炭不同器
冰炭不同罏	冰炭不同罏
冷酒儿后犯	冷酒兒後犯
冷锅里爆豆	冷鍋裏爆豆
准噶尔盆地	準噶爾盆地
准噶尔翼龙	準噶爾翼龍
准格尔盆地	準格爾盆地
准葛尔盆地	準葛爾盆地
减压时间表	減壓時間表
几乎不可能	幾乎不可能
几何拓扑学	幾何拓撲學
几內亚比索	幾內亞比索
几內亚比绍	幾內亞比紹
几内亚比绍	幾內亞比紹
凯特布兰琪	凱特布蘭琪
出手见高低	出手見高低
出版前编目	出版前編目
出版社不详	出版社不詳
出版社丛集	出版社叢集
出版社清样	出版社清樣
出版社装祯	出版社裝禎
出生证明书	出生證明書
分别财产制	分別財產制
分子化合物	分子化合物
分布式环境	分佈式環境
分布式结构	分佈式結構
分布式网络	分佈式網絡
分形几何学	分形幾何學
列氏寒暑表	列氏寒暑表
刘阮上天台	劉阮上天臺
创业板上市	創業板上市
创伤后压力	創傷後壓力
利害关系人	利害關係人
利害关系方	利害關係方
别赫捷列夫	別赫捷列夫
到那个时候	到那個時候
刺头泥里陷	刺頭泥裏陷
前词汇加工	前詞彙加工
前词汇阶段	前詞彙階段
剖宫产手术	剖宮產手術
剖腹产手术	剖腹產手術
剩余放射性	剩餘放射性
剩馀价值率	剩餘價值率
剪牡丹喂牛	剪牡丹喂牛
加工出口区	加工出口區
加解密系统	加解密系統
加里宁格勒	加里寧格勒
加里曼丹岛	加裏曼丹島
加里肋亚海	加里肋亞海
努瓦克肖特	努瓦克肖特
劫后英雄传	劫後英雄傳
劳动基准法	勞動基準法
勃德修正案	勃德修正案
包产到户制	包產到戶制
包皮环切术	包皮環切術
匋斋吉金录	匋齋吉金錄
化学战斗部	化學戰斗部
北极星飞弹	北極星飛彈
北马里亚纳	北馬裏亞納
医药气候学	醫藥氣候學
十万八千里	十萬八千里
十三经注疏	十三經注疏
十二指肠虫	十二指腸蟲
十二木表法	十二木表法
十六国春秋	十六國春秋
十天半个月	十天半個月
十字军东征	十字軍東征
十字军远征	十字軍遠征
千万分之一	千萬分之一
千岛湖事件	千島湖事件
千里始足下	千里始足下
千里寄鹅毛	千里寄鵝毛
千里搭长棚	千里搭長棚
千里送鹅毛	千里送鵝毛
半乳糖血症	半乳糖血症
半保留复制	半保留複製
半岛电视台	半島電視臺
半日制学校	半日制學校
华尔滋舞曲	華爾滋舞曲
华氏寒暑表	華氏寒暑表
卓柏卡布拉	卓柏卡布拉
单一合体字	單一合體字
单位切向量	單位切向量
单克隆抗体	單克隆抗體
单叶双曲面	單葉雙曲面
单子叶植物	單子葉植物
单循环赛制	單循環賽制
单板心合板	單板心合板
南极洲半岛	南極洲半島
南极老人星	南極老人星
占主导地位	占主導地位
占有五不验	占有五不驗
卡式录音带	卡式錄音帶
卡式录音机	卡式錄音機
卡拉布里亚	卡拉布里亞
卡拉曼里斯	卡拉曼里斯
卡纳塔克邦	卡納塔克邦
卡萨布兰加	卡薩布蘭加
卡萨布兰卡	卡薩布蘭卡
卢布尔雅那	盧布爾雅那
卢布里雅纳	盧布里雅納
印制电路板	印製電路板
印刷电路板	印刷電路板
印度人民党	印度人民黨
印度国大党	印度國大黨
厄尔布鲁士	厄爾布魯士
厄立特里亚	厄立特里亞
历代名画记	歷代名畫記
历史博物馆	歷史博物館
历史社会学	歷史社會學
历史语言学	歷史語言學
历来最低点	歷來最低點
原子发电厂	原子發電廠
原子能发电	原子能發電
双向讨论区	雙向討論區
双子叶植物	雙子葉植物
双曲抛物面	雙曲拋物面
双曲线正弦	雙曲綫正弦
双湖特别区	雙湖特別區
双画面电视	雙畫面電視
双龙大裂谷	雙龍大裂谷
反右派斗争	反右派鬥爭
反导向飞弹	反導向飛彈
反时钟方向	反時鐘方向
反转录病毒	反轉錄病毒
发为血之本	髮爲血之本
发光二极体	發光二極體
发光二极管	發光二極管
发展不平均	發展不平均
发展中国家	發展中國家
发展核武器	發展核武器
发展的国家	發展的國家
发育生物学	發育生物學
发行备忘录	發行備忘錄
发行红利股	發行紅利股
发音合作人	發音合作人
变不出花样	變不出花樣
口技表演者	口技表演者
古巴共产党	古巴共產黨
古杰拉特邦	古傑拉特邦
古腾堡计划	古騰堡計劃
只占神问卜	只占神問卜
可变化合价	可變化合價
可可托海镇	可可托海鎮
可持续发展	可持續發展
可望取胜者	可望取勝者
台湾光复节	臺灣光復節
台湾共和国	臺灣共和國
台湾关系法	臺灣關係法
台湾叶鼻蝠	臺灣葉鼻蝠
台湾散打王	臺灣散打王
台湾猕猴桃	臺灣獼猴桃
台湾环颈雉	臺灣環頸雉
台湾疗养院	臺灣療養院
台湾省议会	臺灣省議會
台湾神学院	臺灣神學院
台湾高山族	臺灣高山族
叱咤叱叱咤	叱吒叱叱吒
史克里亚宾	史克里亞賓
史坦布律克	史坦布律克
史坦布瑞纳	史坦布瑞納
史坦布莱纳	史坦布萊納
史塔克豪斯	史塔克豪斯
史托腾柏格	史托騰柏格
史瑞波妮克	史瑞波妮克
叶卡捷琳堡	葉卡捷琳堡
叶卡捷琳娜	葉卡捷琳娜
叶绿体基质	葉綠體基質
叶门共和国	葉門共和國
吃了定心丸	吃了定心丸
吃几碗干饭	吃幾碗乾飯
吃饱没事干	吃飽沒事幹
各打五十板	各打五十板
合众国际社	合眾國際社
合四乙尺工	合四乙尺工
合成洗涤剂	合成洗滌劑
合成清洁剂	合成清潔劑
合成类固醇	合成類固醇
合理化作用	合理化作用
吊死鬼搽粉	吊死鬼搽粉
同位素分离	同位素分離
同位素扫描	同位素掃描
同分异构体	同分異構體
同分异构物	同分異構物
同卵双胞胎	同卵雙胞胎
同心圆理论	同心圓理論
同心方胜儿	同心方勝兒
同性恋酒吧	同性戀酒吧
同时语言学	同時語言學
同步加速器	同步加速器
同步辐射仪	同步輻射儀
同盟会宣言	同盟會宣言
同素异形体	同素異形體
同素异性体	同素異性體
同进士出身	同進士出身
同量异位素	同量異位素
名师出高徒	名師出高徒
名臣言行录	名臣言行錄
后冷战时代	後冷戰時代
后印象主义	後印象主義
后广告纪元	後廣告紀元
后期印象派	後期印象派
后浪推前浪	後浪推前浪
后现代主义	後現代主義
后现代剧场	後現代劇場
后级扩大机	後級擴大機
后词汇加工	後詞彙加工
君主专制制	君主專制制
君主立宪制	君主立憲制
吞米桑布札	吞米桑布札
启发性程式	啓發性程式
吹绵介壳虫	吹綿介殼蟲
周口店文化	周口店文化
周围性眩晕	周圍性眩暈
周武王姬发	周武王姬發
周瑜打黄盖	周瑜打黃蓋
和平工作团	和平工作團
咸菜烧豆腐	鹹菜燒豆腐
哈利法克斯	哈利法克斯
哈特谢普苏	哈特謝普蘇
哈玛斯派系	哈瑪斯派系
哈玛斯集团	哈瑪斯集團
哈萨克斯坦	哈薩克斯坦
哈里发帝国	哈里發帝國
哈里逊福特	哈里遜福特
哥林多后书	哥林多後書
哲布尊丹巴	哲布尊丹巴
唐氏综合症	唐氏綜合症
唐王游地府	唐王遊地府
喀喇崑仑山	喀喇崑崙山
喀喇昆仑山	喀喇崑崙山
喀拉昆仑山	喀拉崑崙山
喷墨印表机	噴墨印表機
喷射发动机	噴射發動機
喷射战斗机	噴射戰鬥機
喷气发动机	噴氣發動機
嗜酸乳干菌	嗜酸乳干菌
噪音管制法	噪音管制法
四两拨千斤	四兩撥千斤
四个现代化	四個現代化
四级三审制	四級三審制
回家吃自己	回家吃自己
回教开斋节	回敎開齋節
回教忠孝节	回敎忠孝節
回旋加速器	迴旋加速器
因斯布鲁克	因斯布魯克
国大主席团	國大主席團
国大代表部	國大代表部
国家标准码	國家標準碼
国民党军队	國民黨軍隊
国民裁判制	國民裁判制
国民革命党	國民革命黨
国际单位制	國際單位制
国际合作节	國際合作節
国际标准舞	國際標準舞
图书巡回车	圖書巡迴車
图木舒克市	圖木舒克市
圣克鲁斯岛	聖克魯斯島
圣塔蒙尼加	聖塔蒙尼加
圣帕特里克	聖帕特里克
圣母升天节	聖母升天節
圣神降临周	聖神降臨週
在全国范围	在全國範圍
在坛子胡同	在罈子胡同
在密切注意	在密切注意
地下修文郎	地下修文郎
地无三里平	地無三里平
地热发电厂	地熱發電廠
地质年代表	地質年代表
地面核爆炸	地面核爆炸
坎塔布连海	坎塔布連海
坐山观虎斗	坐山觀虎鬥
块肉馀生录	塊肉餘生錄
型录式广告	型錄式廣告
埋头寻钟表	埋頭尋鐘錶
城市依赖症	城市依賴症
域多利皇后	域多利皇后
培里克利斯	培裏克利斯
培里克里斯	培里克里斯
塔克拉玛干	塔克拉瑪干
塔克拉马干	塔克拉馬干
塔吉克斯坦	塔吉克斯坦
塔波兰尼克	塔波蘭尼克
塔里契亚努	塔里契亞努
塔里木盆地	塔里木盆地
塞尔提克队	塞爾提克隊
塞尔蒂克队	塞爾蒂克隊
塞莉佛维克	塞莉佛維克
塞车症候羣	塞車症候羣
复分解反应	複分解反應
复变函数论	複變函數論
复合蛋白质	複合蛋白質
复合词素词	複合詞素詞
复循环发电	複循環發電
复本位制度	複本位制度
复杂度理论	複雜度理論
复活的军团	復活的軍團
外侧裂周区	外側裂周區
外国旅游者	外國旅遊者
多云偶阵雨	多雲偶陣雨
多原作艺术	多原作藝術
多媒体杂志	多媒體雜誌
多平台环境	多平臺環境
多式综合语	多式綜合語
多粒子系统	多粒子系統
夜雨秋灯录	夜雨秋燈錄
大义觉迷录	大義覺迷錄
大乌苏里岛	大烏蘇里島
大修理基金	大修理基金
大修道院长	大修道院長
大历十才子	大曆十才子
大叶性肺炎	大葉性肺炎
大叶野百合	大葉野百合
大型钟表面	大型鐘表面
大旱望云霓	大旱望雲霓
大清一统志	大清一統志
大肠杆菌羣	大腸桿菌羣
大虫吃小虫	大蟲吃小蟲
大陆冷气团	大陸冷氣團
大陆性气团	大陸性氣團
大麦克指数	大麥克指數
天不从人愿	天不從人願
天发神谶碑	天發神讖碑
天盟誓表现	天盟誓表現
太平洋周边	太平洋週邊
太平洋周邊	太平洋周邊
太空天文台	太空天文臺
太阳电池板	太陽電池板
太阳神计划	太陽神計劃
太阳黑子周	太陽黑子周
夫妻财产制	夫妻財產制
奉辛比克党	奉辛比克黨
契沙比克湾	契沙比克灣
奥克拉荷马	奧克拉荷馬
奥克斯纳德	奧克斯納德
奥克苏斯河	奧克蘇斯河
奥兰多布鲁	奧蘭多布魯
奥妮克西亚	奧妮克西亞
奥尔布赖特	奧爾布賴特
奥杜伐峡谷	奧杜伐峽谷
奥林匹克日	奧林匹克日
女子参政权	女子參政權
女性艺术史	女性藝術史
奴儿干都司	奴兒干都司
妇女联合会	婦女聯合會
妊娠毒血症	妊娠毒血症
姜太公钓鱼	姜太公釣魚
姜是老的辣	薑是老的辣
威克菲尔德	威克菲爾德
威尔生氏症	威爾生氏症
威氏注音法	威氏註音法
媒体狂并潮	媒體狂併潮
字根合体字	字根合體字
字表输入法	字表輸入法
存款准备率	存款準備率
存款准备金	存款准備金
学了个不留	學了個不留
安纳托利亚	安納托利亞
客制化服务	客製化服務
家具木工科	家具木工科
家和万事兴	家和萬事興
容容多后福	容容多後福
富贵如浮云	富貴如浮雲
察合台汗国	察合臺汗國
察布查尔县	察布査爾縣
对偶多面体	對偶多面體
对妻失语症	對妻失語症
对面不见人	對面不見人
射影几何学	射影幾何學
射雕英雄传	射鵰英雄傳
将相本无种	將相本無種
小儿麻痹症	小兒麻痺症
小团体主义	小團體主義
小型钟表面	小型鐘表面
小池百合子	小池百合子
小秀才学堂	小秀才學堂
尤克里里琴	尤克裏裏琴
尤里比底斯	尤里比底斯
尼加拉瀑布	尼加拉瀑布
尼布楚条约	尼布楚條約
尼布甲尼撒	尼布甲尼撒
屁出了掩臀	屁出了掩臀
山中无历日	山中無曆日
山地管制区	山地管制區
山缪杰克森	山繆傑克森
岩仓使节团	岩倉使節團
峻坂困盐驹	峻阪困鹽駒
巡回图书馆	巡迴圖書館
工业民主制	工業民主制
工厂自动化	工廠自動化
工商综合区	工商綜合區
工布江达县	工布江達縣
工欲善其事	工欲善其事
巧克力脆片	巧克力脆片
已开发国家	已開發國家
巴克莱银行	巴克萊銀行
巴尔克嫩德	巴爾克嫩德
巴尔干半岛	巴爾幹半島
巴尔干山脉	巴爾幹山脈
巴尖儿好胜	巴尖兒好勝
巴布延群岛	巴布延羣島
巴斯德菌症	巴斯德菌症
巴斯特纳克	巴斯特納克
巴比特合金	巴比特合金
巴洛克艺术	巴洛克藝術
巴洛克风格	巴洛克風格
巴里坤草原	巴裏坤草原
巴金森氏症	巴金森氏症
市场占有率	市場佔有率
布兰登堡门	布蘭登堡門
布列兹涅夫	布列茲涅夫
布利斯班市	布利斯班市
布加勒斯特	布加勒斯特
布吉纳法索	布吉納法索
布哈林模式	布哈林模式
布基纳法索	布基納法索
布尔什维克	布爾什維克
布尼亚病毒	布尼亞病毒
布干维尔岛	布干維爾島
布拉席耶利	布拉席耶利
布拉柴维尔	布拉柴維爾
布拉格定律	布拉格定律
布来德史崔	布來德史崔
布氏杆菌病	布氏桿菌病
布热津斯基	布熱津斯基
布特拉加亚	布特拉加亞
布班尼斯瓦	布班尼斯瓦
布痕瓦尔德	布痕瓦爾德
布莱德彼特	布萊德彼特
布里兹涅夫	布里茲涅夫
布里姬沃特	布里姬沃特
布里斯托尔	布裏斯托爾
布里斯本市	布里斯本市
布里斯本河	布里斯本河
布里迪雅通	布里迪雅通
布隆吉尔河	布隆吉爾河
布雷顿森林	佈雷頓森林
布鲁斯威利	布魯斯威利
布鲁氏菌病	布魯氏菌病
希伯来历史	希伯來歷史
希格斯机制	希格斯機制
帕台农神庙	帕臺農神廟
帕拉马里博	帕拉馬裏博
帕累托最优	帕累托最優
帕累托法则	帕累托法則
帕金森氏症	帕金森氏症
常用参考书	常用參考書
常绿阔叶林	常綠闊葉林
干吊着下巴	乾吊着下巴
干煸土豆丝	乾煸土豆絲
平行六面体	平行六面體
平面几何学	平面幾何學
幼发拉底河	幼發拉底河
幽门狭窄症	幽門狹窄症
幽闭恐惧症	幽閉恐懼症
广东药学院	廣東藥學院
广场恐怖症	廣場恐怖症
广场恐惧症	廣場恐懼症
庇里牛斯山	庇里牛斯山
庐山真面目	廬山真面目
库苏古尔湖	庫蘇古爾湖
底栖有孔虫	底棲有孔蟲
底格里斯河	底格里斯河
庙里的猪头	廟裏的豬頭
康乃狄克州	康乃狄克州
建教合作班	建敎合作班
开发中国家	開發中國家
开放式系统	開放式系統
开膛手杰克	開膛手傑克
异烟碱醯酸	異菸鹼醯酸
弗洛里斯岛	弗洛裏斯島
弗罗里达州	弗羅裏達州
弗里得里希	弗裏得裏希
弗里德里希	弗里德里希
弗雷德里克	弗雷德裏克
张玄墓志铭	張玄墓誌銘
张良慕赤松	張良慕赤松
弱智赖于涵	弱智賴于涵
弹药补给站	彈藥補給站
强制猥亵罪	強制猥褻罪
当代新儒家	當代新儒家
当衣买酒喝	當衣買酒喝
录取通知书	錄取通知書
形态发生素	形態發生素
彩妆保养化	彩妝保養化
彩色电视机	彩色電視機
徐妃半面妆	徐妃半面妝
徐霞客游记	徐霞客遊記
得克萨斯州	得克薩斯州
微分几何学	微分幾何學
微微的发烫	微微的發燙
微胶囊技术	微膠囊技術
德克萨斯州	德克薩斯州
德意志银行	德意志銀行
德意志革命	德意志革命
德拉克洛瓦	德拉克洛瓦
德拉克罗瓦	德拉克羅瓦
德谟克拉西	德謨克拉西
心凉了半截	心涼了半截
心宽出少年	心寬出少年
心肺复苏术	心肺復甦術
心脏复苏术	心臟復甦術
心脏收缩压	心臟收縮壓
心脏舒张压	心臟舒張壓
心脏节律器	心臟節律器
心里有个谱	心裏有個譜
心里美萝卜	心裏美蘿蔔
怒江大峡谷	怒江大峽谷
恒春野百合	恆春野百合
恩克巴雅尔	恩克巴雅爾
恩培多克勒	恩培多克勒
恩将仇报者	恩將仇報者
恰克图条约	恰克圖條約
恶事传千里	惡事傳千里
恶人先告状	惡人先告狀
恶人有恶报	惡人有惡報
恶性疟原虫	惡性瘧原蟲
恶马恶人骑	惡馬惡人騎
悬挂式滑翔	懸掛式滑翔
悲怆交响曲	悲愴交響曲
意大利直面	意大利直麵
意见调査表	意見調査表
愿意不愿意	願意不願意
慢工出巧匠	慢工出巧匠
慢工出细活	慢工出細活
慢工出细货	慢工出細貨
成骨不全症	成骨不全症
战术核武器	戰術核武器
房室结回路	房室結迴路
房屋修护费	房屋修護費
扁拟谷盗虫	扁擬穀盜蟲
手掌多汗症	手掌多汗症
才能勇敢追	纔能勇敢追
打了个千儿	打了個千兒
打了个盹儿	打了個盹兒
打伙子穿靴	打夥子穿靴
打出头棒子	打出頭棒子
打干淨毬儿	打乾淨毬兒
打开后门说	打開後門說
托斯卡尼尼	托斯卡尼尼
托比麦奎尔	托比麥奎爾
扩音机系统	擴音機系統
扬州画舫录	揚州畫舫錄
抑扬升降性	抑揚昇降性
投影几何学	投影幾何學
投手防御率	投手防禦率
披头四乐团	披頭四樂團
拉克莫诺夫	拉克莫諾夫
拉布拉他河	拉布拉他河
拉布拉多犬	拉布拉多犬
拉德万斯卡	拉德萬斯卡
拉缆子摆渡	拉纜子擺渡
拉贾帕克萨	拉賈帕克薩
拔不出腿来	拔不出腿來
拜占庭帝国	拜占庭帝國
拜占庭文化	拜占庭文化
拿破仑法典	拿破崙法典
持不同政见	持不同政見
挂帅的社会	掛帥的社會
按时间先后	按時間先後
振衣千仞冈	振衣千仞岡
挺起腰板儿	挺起腰板兒
捏了一把汗	捏了一把汗
换汤不换药	換湯不換藥
捷克共和国	捷克共和國
捷克斯拉夫	捷克斯拉夫
捷尔任斯克	捷爾任斯克
提摩太后书	提摩太後書
搓熟的汤团	搓熟的湯團
摄氏寒暑表	攝氏寒暑表
摆线推进器	擺綫推進器
摩托车的士	摩托車的士
摩根费里曼	摩根費里曼
擂鼓交响曲	擂鼓交響曲
操同室之戈	操同室之戈
收录两用机	收錄兩用機
放射性烟羽	放射性煙羽
放流水标准	放流水標準
救人须救彻	救人須救徹
救生艇甲板	救生艇甲板
敦煌千佛洞	敦煌千佛洞
数以百万计	數以百萬計
数据库软件	數據庫軟件
数据链路层	數據鏈路層
斗大的手卷	斗大的手卷
斗大的馒头	斗大的饅頭
斗智不斗力	鬥智不鬥力
斗牛士之歌	鬥牛士之歌
斗酒博凉州	斗酒博涼州
斯克里亚宾	斯克裏亞賓
斯摩棱斯克	斯摩棱斯克
斯洛伐克语	斯洛伐克語
斯瓦希里语	斯瓦希裏語
斯瓦特谷地	斯瓦特谷地
新不伦瑞克	新不倫瑞克
新几內亚岛	新幾內亞島
新剧同志会	新劇同志會
新罕布什尔	新罕布什爾
新艺综合体	新藝綜合體
新闻发布会	新聞發佈會
新闻发言人	新聞發言人
施诺布莉琪	施諾布莉琪
无伴奏合唱	無伴奏合唱
无机化合物	無機化合物
无烟囱工业	無煙囪工業
无线麦克风	無綫麥克風
无能胜明王	無能勝明王
无针不引线	無針不引綫
无针注射器	無針注射器
无面值邮票	無面值郵票
日本共产党	日本共產黨
日本共同社	日本共同社
日本社会党	日本社會黨
日比谷公园	日比谷公園
明夷待访录	明夷待訪錄
明尼苏大学	明尼蘇大學
明尼苏达州	明尼蘇達州
明师出高徒	明師出高徒
春秋大一统	春秋大一統
春秋左氏传	春秋左氏傳
普列谢茨克	普列謝茨克
普勒托利亚	普勒托利亞
普勒斯威克	普勒斯威克
